["class", "color", "dampness", "dimension", "material", "physical_property", "purity", "room", "shape", "spatial_distribution", "temperature", "transparency"]
[0.0, 0.60, 0.75, 0.39, 0.69, 0.79, 0.73, 0.70, 0.78, 0.77, 0.93, 0.89]
[0.59, 0.0, 0.78, 0.26, 0.83, 0.73, 0.66, 0.67, 0.68, 0.75, 0.93, 0.96]
[0.47, 0.36, 0.0, 0.19, 0.52, 0.63, 0.80, 0.65, 0.60, 0.79, 0.89, 0.83]
[0.21, 0.16, 0.57, 0.0, 0.27, 0.34, 0.49, 0.33, 0.24, 0.58, 0.67, 0.52]
[0.63, 0.74, 0.77, 0.32, 0.0, 0.81, 0.66, 0.69, 0.68, 0.74, 0.93, 0.92]
[0.41, 0.37, 0.61, 0.20, 0.42, 0.0, 0.56, 0.59, 0.53, 0.72, 0.86, 0.82]
[0.48, 0.36, 0.82, 0.18, 0.54, 0.62, 0.0, 0.65, 0.60, 0.90, 0.91, 0.83]
[0.54, 0.38, 0.78, 0.19, 0.53, 0.70, 0.68, 0.0, 0.63, 0.71, 0.92, 0.85]
[0.26, 0.24, 0.74, 0.21, 0.34, 0.33, 0.56, 0.33, 0.0, 0.56, 0.91, 0.79]
[0.50, 0.34, 0.76, 0.16, 0.45, 0.68, 0.83, 0.61, 0.59, 0.0, 0.85, 0.78]
[0.49, 0.38, 0.84, 0.18, 0.57, 0.69, 0.72, 0.67, 0.63, 0.81, 0.0, 0.85]
[0.52, 0.53, 0.79, 0.25, 0.61, 0.67, 0.65, 0.67, 0.64, 0.73, 0.93, 0.0]
