["class", "color", "dampness", "dimension", "material", "physical_property", "price", "purity", "room", "shape", "size", "spatial_distribution", "specific_place", "temperature", "transparency", "weight"]
      class   color damp   dim    mat    phys   price   pure   room  shape  size   spati  place  temp   trans  weight
class[0.000, 0.800, 0.000, 0.900, 0.800, 0.800, 0.900, 0.900, 0.900, 0.900, 0.000, 0.900, 0.800, 0.900, 0.000, 0.900]
color[0.800, 0.000, 0.000, 0.900, 0.900, 0.900, 0.900, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.900, 0.900, 0.900]
damp [0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.900, 0.000, 0.000, 0.000, 0.900, 0.900, 0.000, 0.000, 0.000]
dim  [0.900, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.900, 0.900, 0.000, 0.000, 0.000, 0.000, 0.900]
mat  [0.900, 0.900, 0.900, 0.900, 0.000, 0.900, 0.000, 0.000, 0.800, 0.800, 0.000, 0.000, 0.000, 0.900, 0.800, 0.800]
phys [0.900, 0.800, 0.000, 0.000, 0.900, 0.000, 0.000, 0.000, 0.000, 0.900, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]
price[0.000, 0.000, 0.000, 0.000, 0.900, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]
pure [0.000, 0.000, 0.800, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.900, 0.900, 0.000, 0.000, 0.000]
room [0.900, 0.000, 0.000, 0.000, 0.900, 0.900, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.900, 0.900, 0.000, 0.000]
shape[0.900, 0.000, 0.000, 0.800, 0.900, 0.000, 0.000, 0.000, 0.000, 0.000, 0.800, 0.000, 0.000, 0.000, 0.000, 0.000]
size [0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.900, 0.900]
spat [0.000, 0.000, 0.900, 0.000, 0.000, 0.000, 0.000, 0.800, 0.000, 0.900, 0.000, 0.000, 0.000, 0.900, 0.000, 0.000]
place[0.900, 0.000, 0.900, 0.000, 0.000, 0.000, 0.900, 0.900, 0.900, 0.000, 0.000, 0.900, 0.000, 0.900, 0.000, 0.000]
temp [0.000, 0.000, 0.900, 0.000, 0.900, 0.000, 0.000, 0.900, 0.000, 0.000, 0.000, 0.800, 0.000, 0.000, 0.000, 0.000]
trasp[0.000, 0.800, 0.000, 0.000, 0.900, 0.000, 0.000, 0.900, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]
weigh[0.000, 0.000, 0.000, 0.900, 0.900, 0.000, 0.900, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]
