["class", "color", "dampness", "dimension", "material", "physical_property", "price", "purity", "room", "shape", "size", "spatial_distribution", "specific_place", "temperature", "transparency", "weight"]
[0.000, 0.491, 0.701, 0.194, 0.600, 0.780, 0.658, 0.668, 0.682, 0.683, 0.608, 0.815, 0.501, 0.889, 0.784, 0.788]
[0.660, 0.000, 0.702, 0.231, 0.784, 0.740, 0.734, 0.573, 0.666, 0.616, 0.468, 0.767, 0.442, 0.901, 0.919, 0.495]
[0.671, 0.347, 0.000, 0.188, 0.491, 0.713, 0.598, 0.836, 0.629, 0.656, 0.484, 0.852, 0.475, 0.888, 0.762, 0.562]
[0.719, 0.632, 0.831, 0.000, 0.768, 0.869, 0.802, 0.865, 0.811, 0.758, 0.856, 0.938, 0.597, 0.956, 0.869, 0.793]
[0.688, 0.732, 0.690, 0.159, 0.000, 0.790, 0.680, 0.649, 0.645, 0.585, 0.455, 0.788, 0.443, 0.901, 0.851, 0.617]
[0.705, 0.423, 0.722, 0.346, 0.583, 0.000, 0.685, 0.677, 0.706, 0.611, 0.676, 0.828, 0.511, 0.891, 0.851, 0.613]
[0.658, 0.340, 0.701, 0.169, 0.505, 0.668, 0.000, 0.560, 0.605, 0.559, 0.532, 0.788, 0.417, 0.892, 0.743, 0.586]
[0.686, 0.372, 0.771, 0.174, 0.483, 0.729, 0.572, 0.000, 0.618, 0.622, 0.511, 0.915, 0.462, 0.903, 0.753, 0.630]
[0.688, 0.364, 0.700, 0.157, 0.457, 0.751, 0.586, 0.635, 0.000, 0.633, 0.509, 0.783, 0.527, 0.888, 0.748, 0.608]
[0.536, 0.487, 0.789, 0.409, 0.536, 0.634, 0.662, 0.672, 0.677, 0.000, 0.788, 0.855, 0.419, 0.910, 0.689, 0.851]
[0.674, 0.219, 0.701, 0.141, 0.267, 0.532, 0.748, 0.587, 0.612, 0.667, 0.000, 0.791, 0.400, 0.888, 0.743, 0.779]
[0.783, 0.473, 0.748, 0.268, 0.512, 0.866, 0.714, 0.824, 0.698, 0.665, 0.595, 0.000, 0.530, 0.891, 0.743, 0.721]
[0.714, 0.404, 0.766, 0.203, 0.462, 0.740, 0.643, 0.820, 0.801, 0.664, 0.569, 0.815, 0.000, 0.903, 0.738, 0.692]
[0.675, 0.361, 0.790, 0.153, 0.488, 0.704, 0.682, 0.712, 0.629, 0.652, 0.475, 0.879, 0.430, 0.000, 0.764, 0.571]
[0.586, 0.458, 0.692, 0.209, 0.587, 0.726, 0.721, 0.640, 0.604, 0.628, 0.505, 0.786, 0.400, 0.902, 0.000, 0.559]
[0.667, 0.248, 0.701, 0.219, 0.368, 0.688, 0.743, 0.620, 0.604, 0.714, 0.779, 0.794, 0.428, 0.888, 0.743, 0.000]
