["class", "color", "dampness", "dimension", "material", "physical_property", "price", "purity", "room", "shape", "size", "spatial_distribution", "specific_place", "temperature", "transparency", "weight"]
[0.000, 0.540, 0.715, 0.370, 0.615, 0.739, 0.708, 0.634, 0.592, 0.608, 0.604, 0.786, 0.399, 0.881, 0.837, 0.671]
[0.461, 0.000, 0.710, 0.160, 0.725, 0.726, 0.675, 0.616, 0.517, 0.656, 0.593, 0.717, 0.347, 0.836, 0.967, 0.676]
[0.582, 0.392, 0.000, 0.190, 0.461, 0.663, 0.569, 0.781, 0.579, 0.696, 0.612, 0.802, 0.392, 0.858, 0.901, 0.612]
[0.357, 0.355, 0.662, 0.000, 0.410, 0.508, 0.599, 0.622, 0.460, 0.375, 0.592, 0.691, 0.129, 0.812, 0.843, 0.663]
[0.504, 0.677, 0.716, 0.202, 0.000, 0.689, 0.856, 0.649, 0.604, 0.711, 0.667, 0.747, 0.386, 0.868, 1.000, 0.740]
[0.387, 0.443, 0.651, 0.171, 0.475, 0.000, 0.827, 0.613, 0.573, 0.723, 0.699, 0.729, 0.356, 0.872, 0.899, 0.585]
[0.480, 0.428, 0.714, 0.140, 0.667, 0.704, 0.000, 0.617, 0.605, 0.677, 0.672, 0.771, 0.400, 0.877, 0.914, 0.730]
[0.575, 0.366, 0.774, 0.140, 0.471, 0.729, 0.590, 0.000, 0.596, 0.692, 0.603, 0.903, 0.449, 0.873, 0.902, 0.608]
[0.542, 0.406, 0.715, 0.139, 0.469, 0.728, 0.687, 0.644, 0.000, 0.703, 0.574, 0.765, 0.466, 0.877, 0.892, 0.640]
[0.266, 0.186, 0.703, 0.112, 0.359, 0.336, 0.569, 0.611, 0.430, 0.000, 0.691, 0.750, 0.256, 0.864, 0.902, 0.558]
[0.495, 0.312, 0.714, 0.152, 0.558, 0.607, 0.600, 0.639, 0.597, 0.702, 0.000, 0.713, 0.375, 0.858, 0.914, 0.665]
[0.570, 0.363, 0.724, 0.145, 0.488, 0.734, 0.636, 0.822, 0.604, 0.698, 0.593, 0.000, 0.403, 0.872, 0.911, 0.632]
[0.620, 0.393, 0.757, 0.172, 0.495, 0.679, 0.671, 0.841, 0.753, 0.638, 0.553, 0.833, 0.000, 0.901, 0.887, 0.638]
[0.600, 0.389, 0.798, 0.175, 0.506, 0.734, 0.608, 0.728, 0.606, 0.717, 0.540, 0.861, 0.403, 0.000, 0.892, 0.580]
[0.467, 0.504, 0.714, 0.152, 0.668, 0.645, 0.630, 0.605, 0.607, 0.731, 0.629, 0.771, 0.378, 0.868, 0.000, 0.575]
[0.441, 0.377, 0.714, 0.235, 0.587, 0.715, 0.737, 0.661, 0.600, 0.734, 0.624, 0.754, 0.386, 0.876, 0.914, 0.000]
